Date,Type,Category,Account,Description,Amount
2026-07-03,Expense,karuna,cash,watering,700.0
2026-07-02,Expense,Other,cash,siddanti,1000.0
2026-07-02,Expense,ayyappa,HDFC,brickwork,23000.0
2026-07-02,Expense,Other,HDFC,bricks,37200.0
2026-07-02,Expense,Other,HDFC,milk,80.0
2026-07-02,Expense,Other,HDFC,kirana,130.0
2026-07-02,Expense,Other,nCChdfc,recharge,195.0
2026-07-01,Expense,Other,nCChdfc,chicken,450.0
2026-07-01,Expense,Other,nCChdfc,milk,70.0
2026-07-01,Expense,Other,HDFC,ration,92.0
2026-07-01,Expense,Other,nCChdfc,petrol,480.0
2026-06-04,Expense,Other,ICICIcc,amazon,253.0
2026-06-03,Expense,aux,HDFC,granite,3600.0
2026-06-03,Expense,Other,cash,transfer,9300.0
2026-06-03,Expense,yesu,HDFC,granite,3000.0
2026-06-03,Expense,Other,nCChdfc,katthi,180.0
2026-06-03,Expense,Other,nCChdfc,petrol,550.0
2026-06-03,Expense,Other,nCChdfc,recharge,500.0
2026-06-03,Expense,Other,ICICIcc,tatasky,200.0
2026-06-03,Expense,Other,HDFC,ccbill,8011.0
2026-06-03,Expense,karuna,cash,gilaka,1050.0
2026-06-02,Expense,Other,HDFC,kirana,1014.0
2026-06-02,Expense,Other,nCChdfc,kirana,1730.0
2026-06-02,Expense,Other,nCChdfc,vegetables,170.0
2026-06-02,Expense,Other,HDFC,credloan,8011.0
2026-06-01,Expense,Other,nCChdfc,kirana,654.0
2026-06-01,Expense,Other,HDFC,auloan,2000.0
2026-05-04,Expense,ayyappa,HDFC,paranjee,6000.0
2026-05-04,Expense,Other,HDFC,ccbill,8895.0
2026-05-03,Expense,Other,HDFC,ccbill,8895.0
2026-05-03,Expense,Other,HDFC,ccbill,1085.0
2026-05-03,Expense,Other,nCChdfc,medicines,959.0
2026-05-03,Expense,Other,SBIcc,kirana,250.0
2026-05-03,Expense,karuna,cash,watering,350.0
2026-05-03,Expense,Other,HDFC,ccbill,11095.0
2026-05-03,Expense,Other,nCChdfc,dhana,410.0
2026-05-03,Expense,Other,HDFC,food,180.0
2026-05-03,Expense,aux,HDFC,granite,1800.0
2026-05-03,Expense,Other,HDFC,jaali,510.0
2026-05-02,Expense,Other,cash,dwakra,4100.0
2026-05-02,Income,Other,HDFC,lease,100000.0
2026-05-02,Expense,Other,HDFC,puttaparthi,1400.0
2026-05-02,Expense,Other,HDFC,tea,20.0
2026-05-01,Expense,Other,cash,maintenance,1200.0
2026-05-01,Expense,Other,cash,maintenance,1200.0
2026-05-01,Income,Other,cash,lic,1000.0
2026-05-01,Expense,Other,cash,transfer,1200.0
2026-05-01,Expense,Other,cash,milk,1800.0
2026-05-01,Expense,Other,cash,jaya aunty,1500.0
2026-05-01,Expense,Other,cash,watering,700.0
2026-04-04,Expense,Other,nCChdfc,charger,1096.0
2026-04-04,Expense,akka,nCChdfc,petrol,2000.0
2026-04-03,Expense,Other,HDFC,transfer,3000.0
2026-04-03,Expense,yesu,HDFC,granite,2000.0
2026-04-03,Expense,karuna,cash,gilaka,700.0
2026-04-02,Expense,Other,cash,transfer,75500.0
2026-04-02,Expense,Other,nCChdfc,train,452.0
2026-04-01,Expense,Other,nCChdfc,victory bazaar,95.0
2026-04-01,Expense,Other,nCChdfc,food,455.0
2026-04-01,Expense,Other,nCChdfc,recharge,3528.0
2026-03-04,Expense,Other,HDFC,ccbill,918.0
2026-03-04,Expense,Other,HDFC,recharge,200.0
2026-03-03,Expense,Other,HDFC,paint,1680.0
2026-03-03,Expense,Other,nCChdfc,train,452.0
2026-03-03,Expense,Other,nCChdfc,petrol,750.0
2026-03-03,Expense,Other,HDFC,gaddi,1400.0
2026-03-03,Expense,Other,HDFC,gaddi,650.0
2026-03-03,Expense,Other,SBIcc,medicines,100.0
2026-03-03,Expense,karuna,cash,watering,700.0
2026-03-03,Expense,Other,nCChdfc,medicines,133.0
2026-03-02,Expense,Other,HDFC,ccbill,5125.0
2026-03-01,Expense,Other,HDFC,food,80.0
2026-03-01,Expense,ayyappa,HDFC,plastering,27000.0
2026-03-01,Expense,Other,CChdfc,clothes,7897.0
2026-03-01,Expense,Other,nCChdfc,food,535.0
2026-03-01,Income,Other,HDFC,charges,400.0
